nform,nper,ola,f10,f11,f12,f2,f3,f4,f5,f6,g7a,g2a,g2b,g4,g6,h1,h2,h3,h4,h5,h6,h7,h12,h11,h10a,h10,f1,f7,f8,f9,g1,g3,g5,g7,g8a,g8b,h8,h9a,h9b1,h9b2,h9b3,h9b4,h9b5,h9b6,h9b7,h9b8,h13,h11a
26,2,3,jefe,38,mujer,sep./divorciado/a,no asiste pero asistió,secundaria,no,3,si,54,0,asalariado privado,si,7000,,1530,,,,,,,si,,3,16,2,1,1,0,5,,2,,3,,,,,,,,,,,1
26,4,3,hijo/a sólo del jefe,14,hombre,soltero/a,no asiste pero asistió,secundaria,no,2,si,,,,,5000,,,,,,,,,si,,3,13,2,1,9,,,,9,,,,,,,,,,,,,1
26,5,3,hijo/a sólo del jefe,9,mujer,soltero/a,asiste actualmente,primario común,no,2,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
26,13,3,hijo/a sólo del jefe,15,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,1,9,6,,,,2,,,,,,,,,,,,,1
26,14,3,hijo/a sólo del jefe,15,hombre,soltero/a,no asiste pero asistió,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,14,2,1,7,,,,2,,,,,,,,,,,,,1
26,15,3,nieto/a,4,hombre,soltero/a,asiste actualmente,preescolar,no,,si,,,,,,,,,,,,,,si,,3,,1,9,,,,,,,,,,,,,,,,,,1
28,1,3,hijo/a sólo del jefe,12,hombre,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
28,2,3,jefe,47,hombre,casado/a,no asiste pero asistió,secundaria,no,3,si,50,0,asalariado privado,si,30000,,,,,,,999999,2,si,,3,15,2,1,1,0,5,,2,,2,,,,,,,,,,999999,1
28,3,3,cónyuge,46,mujer,casado/a,no asiste pero asistió,ens. técnica,si,2,si,30,0,trab. cuenta propia sin local,no,3000,,,,,,,,2,si,,3,17,2,2,1,0,5,,2,,2,,,,,,,,,,999999,1
28,4,3,hijo/a sólo del jefe,11,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
29,1,3,hijo/a sólo del jefe,14,hombre,soltero/a,asiste actualmente,secundaria,no,2,si,,,,,,,,,,,,,,si,,1,,1,2,6,,,,2,,1,1800,,,,,,,,,,1
29,2,3,jefe,59,mujer,sep./divorciado/a,no asiste pero asistió,primario común,no,3,si,15,0,asalariado privado,no,1120,,,,,,,1000,,si,,1,10,1,2,1,0,9,,2,,1,,,,,,,,,,,1
29,3,3,nieto/a,7,hombre,soltero/a,asiste actualmente,primario común,no,1,si,,,,,,,,,,,,,,si,,3,,1,2,,,,,,,4,,,,,,,,,,,1
32,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,4,,2,1,,,,,,,,,,,,,,,,,,1
32,2,3,jefe,38,hombre,casado/a,no asiste pero asistió,secundaria,no,4,si,45,0,asalariado privado,,40000,,,,,,,,,si,,4,18,2,1,1,0,9,,2,,,350,1,13,,,,,,,999999,1
32,3,3,cónyuge,30,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,4,13,2,1,7,,,,2,,,,,,,,,,,,,1
32,13,3,hijo/a de ambos,4,hombre,soltero/a,nunca asistió,,,,si,,,,,,,,,,,,,,si,,4,,2,1,,,,,,,,,,,,,,,,,,1
33,1,3,hijo/a sólo del jefe,14,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,3,,,,2,,,,,,,,,,,,,1
33,2,3,jefe,40,mujer,unido/a,no asiste pero asistió,secundaria,no,3,si,40,0,asalariado privado,si,8000,,,,,,,,,si,,3,16,2,1,1,0,9,,2,,,350,1,,,,,,,,,1
33,13,3,cónyuge,40,hombre,unido/a,no asiste pero asistió,secundaria,no,2,si,40,0,asalariado privado,si,10000,,,,,,,,,si,,3,16,2,1,1,0,9,,2,,,,,,,,,,,,,1
35,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
35,2,3,jefe,51,hombre,casado/a,no asiste pero asistió,secundaria,no,1,si,50,0,asalariado privado,si,6000,,,,,,,,,si,,3,13,2,1,1,0,9,,2,,,,,,,,,,,,,1
35,3,3,cónyuge,55,mujer,casado/a,no asiste pero asistió,secundaria,no,3,si,,,,,,,,,,,,,,si,,3,15,1,2,7,,,,2,,,1226,1,,,,,,,,,1
39,1,3,hijo/a de ambos,13,hombre,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
39,2,3,jefe,46,hombre,casado/a,no asiste pero asistió,primario común,si,6,si,56,0,asalariado privado,si,999999,,,,,,,,,si,,3,12,2,1,1,0,6,,2,,,,,,,,,,,,999999,1
39,3,3,cónyuge,37,mujer,casado/a,no asiste pero asistió,ens. técnica,no,2,si,40,0,asalariado privado,si,999999,,,,,,,,,si,,3,15,2,1,1,0,9,,2,,,,,,,,,,,,,1
39,4,3,hijo/a de ambos,20,mujer,soltero/a,asiste actualmente,superior,no,99,si,36,0,asalariado privado,si,9800,,,,,,,,,si,,3,,2,1,1,1,5,,2,,,,,,,,,,,,,1
39,5,3,hijo/a de ambos,12,hombre,soltero/a,asiste actualmente,primario común,no,5,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
39,6,3,hijo/a de ambos,9,hombre,soltero/a,asiste actualmente,primario común,no,3,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
41,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,secundaria,no,1,si,,,,,,,,,,,,,,si,,3,,2,1,,,,,,,,,,,,,,,,,,1
41,2,3,jefe,49,hombre,casado/a,no asiste pero asistió,primario común,no,5,si,44,0,asalariado privado,si,30000,,3000,,,,,6000,,si,,3,11,2,1,1,0,5,,2,,1,,,,,,,,,,8000,1
41,3,3,cónyuge,44,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,,,,,,,,,,,,,,si,,3,13,2,2,2,,,2,2,,1,,,,,,,,,,,1
43,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,9,,2,1,,,,,,,,,,,,,,,,,,1
43,2,3,jefe,47,hombre,casado/a,no asiste pero asistió,ens. técnica,no,3,si,40,0,asalariado privado,si,9800,,,,,,,4000,,si,,9,15,2,1,1,0,9,,2,,1,2300,1,4,5,,,,,,,1
43,3,3,cónyuge,41,mujer,casado/a,no asiste pero asistió,secundaria,no,4,si,20,0,asalariado privado,si,3600,,,,,,,,,si,,9,16,2,1,1,0,9,,2,,1,,,,,,,,,,,1
43,4,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,9,,2,1,,,,,,,,,,,,,,,,,,1
43,5,3,hijo/a de ambos,18,mujer,soltero/a,asiste actualmente,secundaria,no,5,si,18,0,asalariado privado,no,1500,,,,,,,,,si,,9,,2,1,1,0,9,,2,,1,,,,,,,,,,,1
44,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,9,,2,1,,,,,,,,,,,,,,,,,,1
44,2,3,jefe,47,hombre,casado/a,no asiste pero asistió,ens. técnica,no,3,si,40,0,asalariado privado,si,9800,,,,,,,4000,,si,,9,15,2,1,1,0,9,,2,,1,2300,1,4,5,,,,,,,1
44,3,3,cónyuge,41,mujer,casado/a,no asiste pero asistió,secundaria,no,4,si,20,0,asalariado privado,si,3600,,,,,,,,,si,,9,16,2,1,1,0,9,,2,,1,,,,,,,,,,,1
44,4,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,9,,2,1,,,,,,,,,,,,,,,,,,1
44,5,3,hijo/a de ambos,18,mujer,soltero/a,asiste actualmente,secundaria,no,5,si,18,0,asalariado privado,no,1500,,,,,,,,,si,,9,,2,1,1,0,9,,2,,1,,,,,,,,,,,1
49,1,3,hijo/a sólo del jefe,15,hombre,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,3,,1,9,3,,,,2,,,,,,,,,,,,,1
49,2,3,jefe,39,hombre,soltero/a,no asiste pero asistió,primario común,si,6,si,48,0,asalariado privado,no,7000,,,,,,,,,si,,3,13,1,9,1,0,9,,2,,,1600,1,13,,,,,,,,1
49,3,3,madre/padre,78,mujer,soltero/a,no asiste pero asistió,primario común,si,6,si,,,,,,,3600,,,,,,,si,,3,12,1,9,5,,,,2,,,,,,,,,,,,,1
49,13,3,hijo/a sólo del jefe,16,hombre,soltero/a,asiste actualmente,secundaria,no,99,si,,,,,,,,,,,,,,si,,3,,1,9,3,,,,1,2,,,,,,,,,,,,1
50,1,3,hijo/a de ambos,13,mujer,soltero/a,asiste actualmente,ens. técnica,no,1,si,,,,,,,,,,,,,,si,,3,,1,1,,,,,,,,,,,,,,,,,,1
50,2,3,cónyuge,46,hombre,casado/a,no asiste pero asistió,primario común,si,6,si,60,0,asalariado privado,no,999999,,,,,,,,,si,,3,14,1,1,1,0,9,,2,,1,,,,,,,,,,999999,1
50,3,3,jefe,46,mujer,casado/a,no asiste pero asistió,primario común,si,6,si,32,0,asalariado privado,si,9000,,,,,,,999999,,si,,3,99,1,1,1,0,9,,2,,1,1200,1,,,,,,,,999999,1
