nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
1065,3,3,18 Feb 12,7,2,1,2009,7,,,1,,4,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,1,0,1,,1,2,0,,,4,3,2,,,4,1,2,2,,,,4,Sin nombre,3,3,1,15,2,2,Sin nombre,3,3,1,14,2,2,Sin nombre,3,3,1,15,4,2,Sin nombre,3,3,1,14,2,2,,,,,,,,1,ns_nc,2,,1,28,2,,1,7,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,1,3,2,,2,,,,2,1,1,2,2,2,2,2,,5,1,5,3,1,1,3,1,3,3,3,3,1,3,3,3,3,3,3,3,2,1,3,1,1,1,3,3,3,3,2,1,1,6,0,2,canelones,3,27,1,19,3,3,3,2,,1,1,4,2011,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,35000,1,1,1,1,1,66,,11,2,8,,,,canelones,3,1,2,,68,9,2,canelones,3,6,,,,3,1,1,4,4,5,1,3,5,5,1,,3,2,2,1,2,7,7,4,1,1,1,3,2,2,3,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,9,10,10,10,5,4,1,3,2,4,4,1,1,10,10,2,10,10,10,1,1,4,1,4,4,3,3,5,1,1,1,1,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,625
1066,2,1,05 Dec 11,13,2,1,2006,2,,,1,,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,0,0,1,,1,ninguna,10,2,Ns_Nc,2,3,2,,,4,2,2,2,,,,1,Sin nombre,2,ns_nc,ns_nc,ns_nc,ns_nc,ns_nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,7,1,2,1,10,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,1,3,2,,2,,,,2,1,2,2,2,2,2,2,,4,1,5,3,1,3,3,3,2,2,3,3,3,3,1,2,3,3,2,3,3,2,3,1,1,3,3,2,3,3,1,,,,,,rivera,13,11,2,16,4,4,2,2,,1,1,3,2010,2,,ninguno,2,1,Sin nombre,5,5,2,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,20000,1,1,1,1,1,71,,9,2,8,,,,montevideo,1,1,2,,69,9,2,montevideo,1,1,5,,,4,4,4,1,4,4,4,1,4,4,3,,1,1,ns_nc,1,1,8,6,6,1,1,1,1,1,1,1,2,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,1,10,1,10,10,4,4,5,3,2,2,2,1,10,10,10,10,1,1,1,10,10,4,4,4,4,4,4,12,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,,,,,,,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,625
1067,3,1,04 Oct 11,15,2,1,1992,2,,,1,,5,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,0,0,1,,1,2,1,1,,4,3,2,,,5,2,2,2,,,,3,larreta,1,5,2,14,4,2,lucia,1,5,2,14,4,2,bibiana,1,5,2,14,4,2,,,,,,,,,,,,,,,1,10,1,10,1,15,2,,1,15,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,,,1,1,1,2,2,2,1,2,,3,1,5,3,3,3,3,3,1,3,1,3,1,3,2,1,3,1,1,3,1,1,3,2,1,1,1,3,2,3,1,,,,,,montevideo,1,15,2,20,5,5,2,2,,1,1,3,2011,2,,ninguno,1,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,25000,2,2,2,1,1,68,,11,1,1,3,5,,cerro largo,4,1,1,75,,3,6,cerro largo,4,2,,,,5,5,5,5,5,5,5,5,5,5,1,,5,2,1,1,1,5,5,5,1,1,1,4,1,3,1,1,1,1,1,10,1,1,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,5,4,5,3,1,1,4,1,1,10,8,10,6,5,10,1,1,4,4,4,4,4,4,9,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,0,15000,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,134,-2.3199999,.0099999998,625
1069,3,1,25 Oct 11,15,2,1,1971,6,,,1,,3,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,2,0,0,1,,1,2,10,1,,3,3,1,4,20,4,1,2,2,,,,4,maria pia,1,5,2,14,4,2,agustin,1,5,1,14,4,2,ashley,3,5,2,14,4,2,nancy,3,5,2,14,4,2,,,,,,,,1,10,2,,1,10,2,,1,10,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,1,3,2,,2,,,,1,1,2,2,2,2,1,2,,3,5,5,3,1,1,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,1,1,2,1,3,2,3,1,,,,,,montevideo,1,32,1,21,3,3,3,2,,1,1,10,2009,2,,ninguno,1,2,andrea,4,5,2,35,4,1,maria,4,5,2,41,3,1,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,1,2,,65,11,2,5,,,,montevideo,1,1,2,,60,8,2,montevideo,1,1,,,,4,4,3,4,4,4,4,4,4,4,2,,5,2,1,1,1,5,5,5,1,1,1,2,1,2,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,1,10,10,1,10,10,10,10,10,10,10,10,10,5,3,5,3,1,1,4,4,1,1,1,10,10,10,10,1,1,4,2,4,4,5,4,7,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,163,1.3099999,3.1099999,625
1072,2,1,29 Feb 12,7,1,1,2000,3,,,1,,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,0,0,1,,1,2,0,,,3,1,2,,,4,1,2,1,3,1,,2,Sin nombre,2,3,2,16,4,1,Sin nombre,2,3,2,14,5,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,28,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,,,2,1,2,2,2,2,2,2,,5,1,5,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,1,3,3,3,3,3,1,1,3,3,1,3,1,,,,,,colonia,5,14,2,23,2,2,1,2,,2,1,1,2002,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,40000,1,1,1,1,1,63,,9,2,8,,,,colonia,5,1,1,65,,ns_nc,ns_nc,0,,,,,,5,5,5,4,4,5,1,4,5,4,1,,5,2,1,1,2,8,1,8,1,1,1,3,2,2,2,2,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,8,1,3,4,4,4,1,10,1,10,1,10,10,10,1,1,4,9,9,4,5,2,4,1,1,1,1,1,1,2,2,1,1,4,4,4,4,4,4,3,1,4,1,1,4,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,149,-.0099999998,.63999999,625
1073,3,1,25 Oct 11,15,1,1,2001,4,,,1,,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,0,0,1,,1,2,0,,,4,2,2,,,5,1,2,2,,,,4,tamara,2,3,2,13,4,2,marta,3,5,2,14,4,2,alexandra,2,3,2,14,4,2,melisa,3,5,2,13,4,2,,,,,,,,1,10,2,,1,5,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,,,1,1,1,2,2,2,1,2,,3,1,5,3,1,1,2,3,2,2,3,3,3,3,1,3,2,3,3,3,1,2,3,1,1,1,3,1,3,3,2,1,3,3,1,1,montevideo,1,17,2,30,2,2,2,2,,1,1,5,2011,1,5,ninguno,2,4,iris,4,5,2,44,3,1,claudia,4,5,2,42,3,1,beti,4,5,2,44,3,1,rosario,4,5,2,44,3,1,,,,,,,,1,5,25000,2,2,2,1,1,64,,8,2,1,,,,italia,57,1,1,75,,9,2,italia,57,8,,,,3,4,3,3,3,4,4,4,3,4,3,,5,2,1,2,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,10,10,1,10,10,10,10,10,5,10,10,5,10,10,1,10,10,10,10,10,10,10,10,10,3,3,3,3,2,2,4,1,1,10,5,10,10,5,10,8,8,4,3,4,4,3,5,11,1,1,1,1,2,2,2,2,1,3,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,154,.02,1.0599999,625
1075,2,1,29 Oct 11,3,1,1,2008,4,,,1,,3,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,0,0,1,,1,2,0,,,4,3,2,,,4,1,1,2,,,,2,cinthia,3,5,2,13,4,2,jesica,3,5,2,15,4,2,,,,,,,,,,,,,,,,,,,,,,2,,1,10,1,10,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,2,1,2,2,2,2,2,,4,1,5,2,1,1,2,1,1,3,1,3,1,2,1,1,2,1,1,3,1,1,2,3,1,1,1,3,1,2,2,1,2,8,0,4,montevideo,1,17,1,22,3,3,2,2,,1,1,3,2008,2,,3,3,1,cana,1,3,2,25,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,2,1,2,1,1,62,,9,2,8,,,,montevideo,1,1,1,60,,1,4,montevideo,1,8,,,,4,4,3,3,4,4,4,4,4,4,1,,4,2,1,1,1,4,4,4,1,2,1,3,2,2,2,1,1,1,3,10,10,1,10,10,10,10,1,10,10,10,1,1,10,1,5,1,10,10,10,10,10,10,10,4,5,5,2,2,2,2,1,5,5,5,5,5,5,10,1,1,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,2,4,4,1,4,3,7,,,2,,,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,155,.34999999,-.93000001,1823
1076,3,1,10 Oct 11,3,2,1,2006,2,,,1,,4,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,0,0,1,,1,2,0,,,4,3,2,,,4,1,2,2,,,,1,lourdes,3,5,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,10,1,20,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,2,2,2,2,2,2,2,,3,1,5,2,2,1,2,1,2,3,1,3,1,2,1,1,2,1,1,3,1,1,2,2,1,1,1,2,2,2,1,,,,,,montevideo,1,18,2,17,2,2,2,2,,1,1,10,2010,2,,ninguno,2,1,elsa,3,5,2,30,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,10000,2,2,2,1,1,53,,11,2,5,,,,montevideo,1,1,1,57,,9,2,artigas,2,1,,,,4,4,4,3,4,4,4,4,4,4,1,,4,1,1,1,1,4,4,4,1,1,1,4,2,2,2,1,1,1,3,10,10,1,10,10,10,10,10,10,10,10,1,10,10,1,10,1,10,10,10,10,10,10,10,5,5,1,2,2,2,4,1,1,1,1,1,1,1,10,5,5,4,4,9,9,9,3,4,1,1,1,ns_nc,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,154,.18000001,1.12,1823
1077,2,1,20 Feb 12,101,ns_nc,1,2004,2,,,1,,3,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,2,0,1,,1,2,0,,,2,3,2,,,5,1,2,2,,,,5,luis,3,5,1,17,1,2,alejandro,3,5,1,15,4,2,heber,1,5,1,11,2,2,brian,3,5,1,15,ns_nc,2,grillo,3,5,1,14,1,2,1,1,1,ns_nc,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,1,4,2,,2,,,,1,2,2,2,2,1,2,2,,3,5,5,2,3,1,2,3,1,2,1,3,3,3,2,1,2,3,3,3,2,3,2,1,1,1,1,2,2,1,2,ns_nc,,,,,montevideo,1,18,1,16,7,7,7,2,,1,1,4,2011,2,,10,1,2,elisa,6,5,2,40,ns_nc,ns_nc,yeni,6,5,2,40,ns_nc,ns_nc,,,,,,,,,,,,,,,,,,,,,,1,5,30000,1,2,1,1,1,60,,5,2,1,5,7,,montevideo,1,1,1,63,,9,2,montevideo,1,8,,,,4,2,2,2,2,4,5,3,3,4,2,,4,2,1,1,1,5,5,5,2,2,2,2,1,1,1,1,1,1,1,8,7,2,10,10,10,10,5,10,10,10,1,4,1,1,4,1,10,10,10,1,10,10,10,3,7,2,3,1,4,4,1,1,7,1,10,10,3,10,4,1,4,1,3,1,5,3,4,1,1,1,1,2,2,2,2,1,4,4,3,4,4,4,4,3,4,4,1,2,4,,,,,,,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,3000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1823
1078,3,1,22 Oct 11,3,1,1,1997,4,,,1,,3,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,0,0,1,,1,2,0,,,3,3,2,,,4,1,2,2,,,,2,melani,3,5,2,15,4,2,patricia,3,5,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,10,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,5,4,3,1,1,3,1,1,3,1,2,1,3,1,1,3,2,1,3,1,1,3,2,1,1,1,3,1,2,1,,,,,,montevideo,1,19,2,21,5,5,5,2,,2,2,,,2,,ninguno,2,1,ana,3,5,2,38,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,18000,1,2,2,1,2,,60,9,2,8,,,,montevideo,1,1,2,,56,9,2,salto,15,1,,,,3,2,2,ns_nc,2,2,3,ns_nc,3,3,1,,4,1,ns_nc,1,1,3,3,3,1,1,1,3,2,2,3,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,1,3,2,2,4,1,1,1,1,1,1,1,10,1,1,4,3,3,3,3,3,10,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,139,-2.3900001,.38,1823
1080,3,1,12 Oct 11,3,2,1,2004,2,,,1,,3,3,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,3,1,2,0,1,,1,2,2,1,,3,5,2,,,3,2,2,2,,,,2,rodrigo,3,5,1,13,2,2,andres,3,5,1,14,2,2,,,,,,,,,,,,,,,,,,,,,,2,,1,10,1,20,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,4,5,5,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,,,,,montevideo,1,16,2,20,4,4,2,2,,2,2,,,2,,2,3,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,1,1,1,1,1,65,,9,2,1,,,,montevideo,1,1,2,,60,9,2,montevideo,1,8,,,,3,3,3,ns_nc,4,4,3,ns_nc,3,3,1,,4,1,ns_nc,1,2,1,1,1,1,1,1,3,3,3,3,1,2,1,1,10,10,1,10,10,10,10,1,5,10,10,1,1,1,1,10,1,10,10,10,1,10,10,10,1,1,5,3,2,2,4,2,5,5,5,10,10,10,10,1,1,4,2,9,9,3,3,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,1,1,3,2,7,,,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,144,-.36000001,-3.21,1823
1081,3,1,22 Oct 11,3,1,1,1998,4,,,1,,3,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,0,0,1,,1,2,0,,,4,3,2,,,4,1,2,2,,,,2,yesica,3,5,2,14,3,2,cintia,3,5,2,12,3,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,5,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,3,8,0,4,montevideo,1,17,1,18,5,5,6,2,,1,1,2,2009,2,,10,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,50000,2,2,2,1,2,,62,11,2,8,,,,tacuarembo,18,1,2,,75,7,2,rivera,13,8,,,,1,1,1,1,1,1,1,2,1,1,1,,5,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,10,10,10,10,10,10,10,1,10,1,10,10,10,10,1,10,1,10,10,10,10,10,10,10,1,1,1,3,2,2,4,ns_nc,1,1,1,1,1,1,10,5,5,4,1,5,5,1,3,4,1,1,1,1,2,2,2,2,1,4,4,4,3,4,4,4,4,4,4,1,4,2,8,,,2,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1823
1082,3,1,13 Oct 12,18,2,1,1955,2,,,1,,4,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,0,0,1,,1,3,1,1,,5,3,2,,,4,1,2,2,,,,4,camila,1,5,2,14,4,2,yamila,1,4,2,15,4,2,patricia,3,5,2,12,3,2,yamila,3,5,2,15,4,2,,,,,,,,1,1,2,,1,21,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,1,1,4,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,5,3,3,1,3,1,1,3,1,3,3,3,1,1,3,1,1,3,1,1,3,3,1,1,1,3,3,3,1,,,,,,montevideo,1,nunca_trabajó,,22,3,3,3,2,,1,1,4,2008,2,,ninguno,2,4,yolanda,1,5,2,50,ns_nc,4,lucy,5,4,2,55,ns_nc,4,sandra,3,5,2,46,4,1,antonieta,3,5,2,64,ns_nc,4,,,,,,,,1,5,25000,2,2,2,1,2,,60,11,2,1,,,,rocha,14,1,2,,86,5,2,rocha,14,8,,,,3,5,4,5,5,4,5,5,5,5,2,,5,2,2,2,2,5,,5,1,2,1,3,1,1,1,1,1,1,1,10,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,1,10,10,10,5,5,10,3,4,3,4,1,10,10,10,10,10,10,10,10,1,4,3,3,5,5,9,16,1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,9,2,2,9,2,2,2,2,2,2,2,2,2,2,9,9,10000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,143,-1.33,-.69,907
1086,2,1,16 Nov 11,20,1,1,1995,2,,,1,,4,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,1,,1,2,2,1,,4,3,1,4,14,5,1,2,2,,,,4,paola,3,5,2,13,4,2,yamila,3,5,2,12,2,2,malena,3,5,2,15,1,2,katia,3,5,2,14,4,2,,,,,,,,1,3,1,10,2,,2,,1,10,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,2,1,1,1,2,2,2,2,,3,5,5,3,3,1,3,1,1,3,1,3,1,3,2,1,3,3,1,3,1,1,3,3,1,1,3,3,2,3,1,,,,,,montevideo,1,nunca_trabajó,,18,3,3,1,2,,2,1,4,2011,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,20000,2,1,2,1,1,64,,9,2,1,,,,montevideo,1,1,2,,ns_nc,1,ns_nc,montevideo,1,ns_nc,,,,4,4,4,ns_nc,3,5,ns_nc,ns_nc,2,5,1,,5,2,ns_nc,1,1,6,4,2,1,1,1,4,1,2,1,1,1,1,1,6,5,1,10,9,4,8,6,4,3,6,5,7,8,9,10,5,10,10,8,6,7,10,2,5,6,6,3,1,4,4,3,5,6,7,10,5,10,7,4,4,4,3,9,9,5,4,4,2,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,2,4,,,,,,,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,138,-1.7,-1.01,827
1088,2,1,06 Oct 11,20,2,1,1984,3,,,1,,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,0,0,1,,1,3,8,2,no va los sabados por familia y frio,4,3,2,,,5,1,1,2,,,,2,nadia chiruchi,5,5,2,14,4,2,patricia,2,2,2,13,4,2,,,,,,,,,,,,,,,,,,,,,,1,5,2,,1,20,1,1,2,,2,,1,2,2,,1,2,1,8,2,,1,20,1,5,1,2,1,2,1,8,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,7,3,1,1,3,3,3,3,3,2,1,3,1,1,3,1,1,2,1,1,3,3,1,1,2,3,2,3,2,1,2,8,0,2,argentina,52,20,1,24,4,4,4,2,,1,1,ns_nc,ns_nc,2,,ninguno,3,5,julio,3,5,1,42,3,1,elena1,4,1,2,51,3,1,silvana,4,1,2,35,ns_nc,1,elizabeth,4,3,2,41,ns_nc,1,elena2,4,3,2,45,4,2,5,5,30000,1,1,1,1,2,,46,9,ns_nc,1,2,,,argentina,52,1,2,,60,7,5,artigas,2,8,,,,2,3,3,2,3,5,5,3,2,3,7,,4,1,1,2,1,5,9,5,2,2,1,3,1,2,1,2,1,1,1,10,8,4,10,10,10,10,1,6,10,10,4,5,6,10,5,6,10,7,8,4,10,10,10,3,4,7,3,2,ns_nc,4,2,5,10,5,10,3,10,8,3,2,9,2,2,3,3,4,4,1,1,1,2,2,2,2,2,1,3,4,3,3,3,3,2,3,3,3,3,3,3,8,,,6,,,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2500,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,152,.44,-.82999998,827
